tutorial,id,name,school,gender,cgpa,team
,,James Bailey,MAE,Male,4.07,278
,,Stella Zhao,CCDS,Female,4.2,278
,,Sofiya Khan,CCEB,Female,4.03,278
,,Abigail King,CoB (NBS),Female,4.02,278
,,Malcolm Chen,NIE,Male,4.19,279
,,Xena Wong,SoH,Female,4.12,279
,,Ravi Patel,SoH,Male,4.05,279
,,Samantha Evans,CCEB,Female,4.03,279
,,Holly Zhang,MAE,Female,4.03,279
,,Eli Walker,WKW SCI,Male,4.19,280
,,Aarohi Verma,CoB (NBS),Female,4.12,280
,,Rizwan Bin Ahmad,WKW SCI,Male,4.05,280
,,Shan Mei,MAE,Female,4.03,280
,,Sofia Cooper,CEE,Female,4.03,280
,,Riley Johnson,CoB (NBS),Male,4.19,281
,,Cynthia Chan,CCEB,Female,4.17,281
,,Sophia Martinez,CoE,Female,4.2,281
,,Aisha Binti,CoB (NBS),Female,4.02,281
,,Anya Tan,SSS,Female,4.02,281
,,Harish Kumar,CoB (NBS),Male,4.19,282
,,Aditi Reddy,CCEB,Female,4.17,282
,,Cindy Wong,EEE,Female,4.2,282
,,Lakshmi Nair,SSS,Female,4.02,282
,,Samantha Flores,CoB (NBS),Female,4.02,282
,,Jonas Li,CoB (NBS),Male,4.19,283
,,Li Wei,CCDS,Female,4.17,283
,,Isabella Lim,CCDS,Female,4.2,283
,,Chloe King,SSS,Female,4.02,283
,,Nikhil Bansal,CoB (NBS),Male,3.88,283
,,Nanami Nakamura,WKW SCI,Female,4.12,284
,,Nathan Lee,NIE,Male,4.19,284
,,Aihua Zhuang,CoB (NBS),Male,4.05,284
,,Tara Menon,EEE,Female,4.03,284
,,Zoe Lee,EEE,Female,4.03,284
,,Zac Johnson,WKW SCI,Male,4.19,285
,,Zara Chen,SSS,Female,4.12,285
,,Lily Foster,CCDS,Female,4.2,285
,,Meera Tan,CoB (NBS),Female,4.02,285
,,Aria Wadhwa,EEE,Female,4.03,285
,,Maximus Davis,MAE,Male,3.92,286
,,Noah Alonzo,CoB (NBS),Male,4.19,286
,,Esther Lee,CoB (NBS),Female,4.12,286
,,Bobby Hidayat,WKW SCI,Male,4.05,286
,,Maya Morgan,CCEB,Female,4.03,286
,,Hussain Bin Mohd,CoE,Male,3.92,287
,,Nina Baker,ADM,Female,4.12,287
,,Samuel Huang,CoB (NBS),Male,4.19,287
,,Tianyi,CCDS,Female,4.2,287
,,Alyssa Liu,CoB (NBS),Female,4.02,287
,,Hudson Walker,CCDS,Male,4.07,288
,,Kiran Reddy,WKW SCI,Male,4.19,288
,,Kiran Chawla,MSE,Female,4.2,288
,,Sabrina Lim,CoB (NBS),Female,4.02,288
,,Huma Iqbal,ADM,Female,4.02,288
,,Hina Ahmad,CCDS,Female,4.17,289
,,Chau Tran,CoB (NBS),Male,4.19,289
,,Vira Andini,EEE,Female,4.2,289
,,Aubree Kelly,ASE,Female,4.02,289
,,Evangeline Rivera,CoB (NBS),Female,4.02,289
,,Rizal Ramadhan,CoE,Male,3.92,290
,,Gita Menon,NIE,Female,4.12,290
,,Brady Yang,SSS,Male,4.19,290
,,Liang Zhang,MAE,Female,4.2,290
,,Tian Wei,CoB (NBS),Female,4.02,290
,,Isaac Tan,CCDS,Male,3.92,291
,,Evelyn Lim,CoB (NBS),Female,4.12,291
,,Timothy Reed,CoB (NBS),Male,4.19,291
,,Aaliyah Flores,SBS,Female,4.2,291
,,Jane Smith,SoH,Female,4.02,291
,,Tyler Garcia,CCEB,Male,3.92,292
,,Isha Rao,SSS,Female,4.12,292
,,Zachary Zhang,SSS,Male,4.19,292
,,Ulya Handayani,CCDS,Female,4.2,292
,,Alice Tan,ADM,Female,4.02,292
,,Isaac Clark,EEE,Male,4.07,293
,,Zane Patel,CoB (NBS),Male,4.19,293
,,Sophie Tan,MAE,Female,4.2,293
,,Aisha binti Hassan,SSS,Female,4.02,293
,,Koh Tze,NIE,Male,3.88,293
,,Asher Wu,EEE,Male,3.92,294
,,Sami Ali,CCDS,Female,4.17,294
,,Elliot Wong,SoH,Male,4.19,294
,,Vivek Nair,CoB (NBS),Male,4.05,294
,,Rumana Niazi,ASE,Female,4.02,294
,,Mei Hong,EEE,Female,4.02,295
,,Levi Tan,CCDS,Male,3.92,295
,,Esther Tan,CoB (NBS),Female,4.12,295
,,Ethan Moore,CoB (NBS),Male,4.19,295
,,Hassan Malik,SoH,Male,4.05,295
,,Charlotte Harris,SPMS,Female,4.02,296
,,Niharika Roy,ASE,Female,4.12,296
,,Usman Rehman,CCDS,Male,3.92,296
,,Xiang Yu Tan,SoH,Male,4.05,296
,,William Lim,SSS,Male,4.19,296
,,Akiko Yamashita,CCDS,Female,4.17,297
,,Scarlett Bell,SBS,Female,4.2,297
,,Ayesha Shirin,CoB (NBS),Female,4.02,297
,,Alice Kwan,SSS,Female,4.02,297
,,Anup Kumar,CoB (NBS),Male,4.19,297
,,Ly Nguyen,CCEB,Female,4.17,298
,,Jennifer Tan,CCDS,Female,4.2,298
,,Kiera Wong,SSS,Female,4.02,298
,,Suki Tanaka,SSS,Female,4.02,298
,,Kaito Takahashi,NIE,Male,4.19,298
,,Florence Ong,SSS,Female,4.12,299
,,Ika Binti Zain,CCEB,Female,4.2,299
,,Iris Zhao,CoB (NBS),Female,4.02,299
,,Zhao Wei,EEE,Male,3.92,299
,,Owen Ramirez,CoB (NBS),Male,4.19,299
,,Le Van Minh,CCEB,Female,4.02,300
,,Harper Hall,SoH,Female,4.12,300
,,Chen Yi,CoB (NBS),Male,4.05,300
,,Khalid Amir,CCEB,Male,3.92,300
,,Logan Kim,NIE,Male,4.19,300
,,Xiaoling Chen,EEE,Female,4.02,301
,,Cassidy Kim,CoB (NBS),Female,4.12,301
,,Andrei Konstantinov,WKW SCI,Male,4.05,301
,,Jaxon Ward,CCDS,Male,3.92,301
,,Xavier Cox,NIE,Male,4.19,301
,,Juna Wang,MAE,Female,4.17,302
,,Linda Chen,LKCMedicine,Female,4.02,302
,,Qiming,ASE,Male,4.05,302
,,Taeyang Kim,SPMS,Male,3.92,302
,,Subhash Yadav,SSS,Male,4.19,302
,,Will Chen,MAE,Male,4.23,303
,,Harini Nair,EEE,Female,4.02,303
,,Siti Mariam,CoB (NBS),Female,4.02,303
,,Clara Murphy,LKCMedicine,Female,4.12,303
,,Nathan Lee,SSS,Male,4.05,303
,,Ashok Patil,CCDS,Male,4.23,304
,,Miranda Chang,SoH,Female,4.02,304
,,Aria Nair,ADM,Female,4.02,304
,,Maya Binti Rahman,CCDS,Female,4.2,304
,,Isaiah Patel,CCEB,Male,4.07,304
,,Elijah Wilson,CoE,Male,4.23,305
,,Nisha Binti,ASE,Female,4.02,305
,,Mikayla Murphy,MAE,Female,4.2,305
,,Vishnu Rao,CCEB,Male,4.07,305
,,Janelle Pineda,SSS,Female,4.02,305
,,Mae Chang,SBS,Female,4.02,306
,,Laxmi Joshi,CoB (NBS),Female,4.02,306
,,Graham Tsang,EEE,Male,4.23,306
,,Zachary Chen,NIE,Male,4.05,306
,,Talia Chen,NIE,Female,4.12,306
,,Richa Agarwal,CoB (NBS),Female,3.97,307
,,Olivia Harris,ASE,Female,4.02,307
,,Matthew Thompson,CoE,Male,4.23,307
,,Jade Wibowo,SPMS,Female,4.2,307
,,Grace Yang,SSS,Female,4.12,307
,,Hiroshi Matsumoto,NIE,Male,3.87,308
,,Kirti Sharma,CoB (NBS),Female,4.02,308
,,Sarita Sharma,CCEB,Female,4.2,308
,,Faisal Naeem,CoE,Male,4.23,308
,,Sanya Gupta,CoB (NBS),Female,4.12,308
,,Farhan Bin Azhar,NIE,Male,3.87,309
,,Hannah Jenkins,SSS,Female,4.02,309
,,Erica Lim,CEE,Female,4.2,309
,,Dev Raj,CoE,Male,4.23,309
,,Song-Joo Lee,CoB (NBS),Female,4.12,309
,,Miriam Tan,CCEB,Female,4.02,310
,,Emma Brown,NIE,Female,4.02,310
,,Yuri Viktorov,ADM,Male,4.05,310
,,Sophie Turner,NIE,Female,4.12,310
,,Kamran Hussain,CEE,Male,4.23,310
,,Zane Navarro,CoB (NBS),Male,4.18,311
,,Dylan Adams,ASE,Male,3.87,311
,,Riya Sinha,CoB (NBS),Female,4.02,311
,,Lina Zhou,MSE,Female,4.2,311
,,Neha Joshi,SPMS,Female,4.17,311
,,Caleb Parker,CoB (NBS),Male,4.18,312
,,Derek White,WKW SCI,Male,3.87,312
,,Sophie Ong,CoB (NBS),Female,4.02,312
,,Liang Wei Tan,CCEB,Female,4.2,312
,,Ulyssa Dela Cruz,CCDS,Female,4.17,312
,,Kendrick Alvarado,SSS,Male,4.18,313
,,Boris Mikhailov,WKW SCI,Male,3.87,313
,,Indira Das,CoB (NBS),Female,4.02,313
,,Harper Robinson,CCEB,Female,4.2,313
,,Olivia Ng,CCEB,Female,4.17,313
,,Fatima Binti,CoE,Female,4.02,314
,,Rohan Shah,NIE,Male,4.18,314
,,Gloria Li,MAE,Female,4.02,314
,,Rizal Bin Ibrahim,ASE,Male,4.05,314
,,Aditi Nair,SSS,Female,4.12,314
,,Jaxon Wu,SoH,Male,4.18,315
,,Rida Khan,CoE,Female,4.02,315
,,Pallavi Menon,SoH,Female,4.02,315
,,Vladislav Nikiforov,SoH,Male,4.05,315
,,Naim Bin Rahim,SPMS,Male,4.07,315
,,Sophie Patel,CCEB,Female,4.02,316
,,Liam Mitchell,ASE,Male,4.18,316
,,Sophie Ong,SSS,Female,4.02,316
,,Serena Chen,CoE,Female,4.2,316
,,Ruchi Gupta,SSS,Female,4.12,316
,,Lilly Wong,EEE,Female,4.02,317
,,Isaac Chen,WKW SCI,Male,4.18,317
,,Xue Chen,CoB (NBS),Female,4.02,317
,,Dylan Anderson,SSS,Male,4.05,317
,,Aanya Kapoor,SPMS,Female,4.17,317
,,Mark Johnson,ASE,Male,4.18,318
,,Sofia Ramirez,SSS,Female,4.02,318
,,Sofia Khan,CoB (NBS),Female,4.02,318
,,Ava Chen,MAE,Female,4.2,318
,,Aubrey Lin,CCEB,Female,4.17,318
,,Radhika Iyer,CCEB,Female,4.02,319
,,Zuri Lin,ADM,Female,4.02,319
,,Stepan Aleksandrov,NIE,Male,4.18,319
,,Haley Santos,CCEB,Female,4.2,319
,,Sajida Noor,SoH,Female,4.12,319
,,Rong Liu,SoH,Female,4.02,320
,,Neela Joshi,CoB (NBS),Female,3.97,320
,,Griffin Yang,CoB (NBS),Male,4.18,320
,,Tania Tan,SBS,Female,4.2,320
,,Sadia Malik,CCDS,Female,4.17,320
,,Sophia White,SBS,Female,4.02,321
,,Rabia Noor,CCEB,Female,4.02,321
,,Kieran Ross,SoH,Male,4.18,321
,,Widi Hardiyanto,SoH,Male,4.05,321
,,Kiran Rane,WKW SCI,Female,4.12,321
,,Layla Evans,CoB (NBS),Female,4.02,322
,,Sana Iqbal,CoB (NBS),Female,4.02,322
,,Vincent King,ADM,Male,4.18,322
,,Natasha Singh,CCEB,Female,4.2,322
,,Max Carter,SBS,Male,4.07,322
,,Veera Kumar,CCDS,Female,4.02,323
,,Kelsey Lim,CoB (NBS),Female,4.02,323
,,Nguyen Quoc Duy,SoH,Male,4.18,323
,,Rhea Joshi,SPMS,Female,4.2,323
,,Aubrey Bell,SoH,Female,4.12,323
,,Sana Johar,CCDS,Female,4.02,324
,,Priti Mehta,MAE,Female,4.02,324
,,Christopher Harris,NIE,Male,4.05,324
,,Jonathan Ramirez,CoB (NBS),Male,4.18,324
,,Kavya Reddy,SSS,Female,4.12,324
,,Jasmine Reed,CCDS,Female,4.02,325
,,Tiffany Chua,EEE,Female,4.02,325
,,Levi Edwards,SoH,Male,4.05,325
,,Axel Liu,NIE,Male,4.18,325
,,Shirley Ong,CoB (NBS),Female,4.12,325
,,Suhana Rao,CoB (NBS),Female,4.02,326
,,Aarti Desai,CCDS,Female,4.02,326
,,Bella Wright,EEE,Female,4.2,326
,,Jacob Yang,LKCMedicine,Male,4.18,326
,,Alya Binti,CoB (NBS),Female,4.12,326
,,Liu Wei,ASE,Female,4.02,327
,,Sadia Awan,MAE,Female,4.02,327
,,Sakura Tanaka,CCEB,Female,4.2,327
,,Nikolai Alvarado,ASE,Male,4.18,327
,,Mila Chen,SSS,Female,4.12,327
,,Areeba Bukhari,EEE,Female,4.02,328
,,Maya Rajan,MAE,Female,4.02,328
,,Noel Wu,NIE,Male,4.05,328
,,Joshua Wang,LKCMedicine,Male,4.18,328
,,Alia Kapoor,SSS,Female,4.12,328
,,Naina Mehta,SSS,Female,4.02,329
,,Yuki Mori,CEE,Female,4.02,329
,,Fenny Widianti,EEE,Female,4.2,329
,,Zheng Rui,SoH,Male,4.18,329
,,Soo-Young Park,SSS,Female,4.12,329
,,Rebecca Chen,CCEB,Female,4.02,330
,,Victoria Ross,MAE,Female,4.02,330
,,Yong Wei Tan,WKW SCI,Male,4.05,330
,,Gaurav Joshi,CoB (NBS),Male,4.18,330
,,Megan Ortiz,SoH,Female,4.12,330
,,Anaya Mehta,CoB (NBS),Female,4.02,331
,,Vera Kim,CCEB,Female,4.02,331
,,Nurul Huda,CCDS,Female,4.2,331
,,Jian Liu,SoH,Male,4.18,331
,,Nadia Bukhari,CoB (NBS),Female,4.12,331
,,Ananya Sinha,MAE,Female,4.02,332
,,Sanya Mehta,EEE,Female,4.02,332
,,Charlie Wong,LKCMedicine,Male,4.05,332
,,Luca Carter,CoB (NBS),Male,4.18,332
,,Nancy Tan,SoH,Female,4.12,332
,,Siti Nora,CoB (NBS),Female,4.02,333
,,Nina Khan,SoH,Female,4.02,333
,,Bingqi,CCDS,Female,4.2,333
,,Yasin Shah,LKCMedicine,Male,4.18,333
,,Elena Morales,MAE,Female,4.17,333
,,Ananya Doshi,CoB (NBS),Female,4.02,334
,,Emily Wu,CoE,Female,4.02,334
,,Ava Kim,SBS,Female,4.2,334
,,Gideon Reed,CoB (NBS),Male,4.18,334
,,Mia Sun,CoB (NBS),Female,4.12,334
,,Dewi Sari,NIE,Female,4.02,335
,,Isaac Tan,WKW SCI,Male,4.05,335
,,Stella Li,CCDS,Female,4.02,335
,,Bingli,SSS,Male,4.18,335
,,Raymond Lim,CoE,Male,4.07,335
,,Riya Mehta,CoB (NBS),Female,4.02,336
,,Aaliyah Morgan,MSE,Female,4.2,336
,,Zara Adams,MAE,Female,4.02,336
,,Nathan Adams,SoH,Male,4.18,336
,,Aria Patel,SoH,Female,4.12,336
,,Cleo Morales,NIE,Female,4.02,337
,,Sariyah Binti Rahman,MAE,Female,4.2,337
,,Rina Sharma,EEE,Female,4.02,337
,,Cheng Yi,LKCMedicine,Male,4.18,337
,,Harper Chen,NIE,Female,4.12,337
,,Mei Chen,SSS,Female,4.02,338
,,Sonia Irfan,CCEB,Female,4.2,338
,,Aliya Khan,EEE,Female,4.02,338
,,Quincy Alvarado,CoB (NBS),Male,4.18,338
,,Sasha Lim,SoH,Female,4.12,338
,,Addison Lin,SSS,Female,4.02,339
,,Li Wei,ADM,Male,4.05,339
,,Beatrice Kwan,CCDS,Female,4.02,339
,,Khanh Nguyen,NIE,Male,4.18,339
,,Fang Xiu,EEE,Female,4.17,339
,,Yasmine Villanueva,SSS,Female,4.02,340
,,Medi Prabowo,CoB (NBS),Male,4.05,340
,,Mabel Tsai,SBS,Female,4.02,340
,,Carter Li,WKW SCI,Male,4.18,340
,,Marina Tan,CCDS,Female,4.17,340
,,Chloe Lee,SoH,Female,4.02,341
,,Asma Sheikh,CCEB,Female,4.2,341
,,Ranya Al-Mansoori,CCDS,Female,4.17,341
,,Jae-Suk Jung,CCDS,Male,3.97,341
,,Josh Thompson,NIE,Male,4.18,341
,,Christopher Miller,CoB (NBS),Male,4.17,342
,,Sofia Lee,SSS,Female,4.02,342
,,Bo Wen Lim,SoH,Male,4.05,342
,,Chloe Ward,CCEB,Female,4.02,342
,,Tony Tsang,CEE,Male,4.07,342
,,Wesley Turner,SoH,Male,4.17,343
,,Mei Ling,EEE,Female,4.2,343
,,Ajay Kumar,CCDS,Male,3.97,343
,,Zhi Zhen,SSS,Male,3.92,343
,,Xiu Ying,CCEB,Female,4.17,343
,,Ajay Bhatt,CCDS,Male,4.22,344
,,Qi Zhang,LKCMedicine,Female,4.02,344
,,Ika Binti Jamal,CCEB,Female,4.2,344
,,Isha Begum,MAE,Female,4.07,344
,,Avery Smith,SSS,Female,4.12,344
,,William Yip,EEE,Male,4.22,345
,,Katherine Lee,SSS,Female,4.02,345
,,Xingyu,MAE,Female,4.2,345
,,Ursula Scott,CCEB,Female,4.07,345
,,Layla Turner,CoB (NBS),Female,4.12,345
,,Kong Wei Tan,EEE,Male,4.22,346
,,Selene Tsai,CCDS,Female,4.2,346
,,Meera Bansal,CoB (NBS),Female,3.97,346
,,Rita Chan,CEE,Female,4.07,346
,,Xiaoling Zhang,CCEB,Female,4.17,346
,,Han Zhang,CoB (NBS),Male,4.02,347
,,Logan Harris,EEE,Male,4.22,347
,,Lina Binti Zain,MAE,Female,4.2,347
,,Chloe Huang,NIE,Female,3.97,347
,,Jing Chen,CCDS,Male,3.97,347
,,Simon Lee,CoB (NBS),Male,4.02,348
,,Zhi Wei Lim,EEE,Male,4.22,348
,,Patricia White,SBS,Female,4.2,348
,,Nash Wong,SoH,Male,3.92,348
,,Alyssa Cox,WKW SCI,Female,3.97,348
,,Hoang Nguyen,ADM,Male,4.02,349
,,Jovian Tan,EEE,Male,4.22,349
,,Lily Zhou,CEE,Female,4.2,349
,,Quincy Ong,SSS,Male,3.92,349
,,Naila Rani,SSS,Female,3.97,349
,,Liam Reddy,NIE,Male,4.02,350
,,Shinichi Nakagawa,ASE,Male,4.17,350
,,Rylan King,SoH,Male,4.05,350
,,Naina Bhatia,CoE,Female,4.02,350
,,Neha Kumar,MAE,Female,4.02,350
,,Rajiv Nair,SoH,Male,4.02,351
,,Rohan Tan,CoB (NBS),Male,4.17,351
,,Neela Nair,EEE,Female,4.2,351
,,Angelina Chang,MAE,Female,4.07,351
,,Kade Young,SoH,Male,3.92,351
,,Samuel Lee,CoB (NBS),Male,4.02,352
,,Orion Setiawan,CEE,Male,4.22,352
,,Mira Ng,CCDS,Female,4.2,352
,,Takashi Tanaka,SPMS,Male,3.97,352
,,Jia Yu,MAE,Female,4.02,352
,,Ethan Lee,NIE,Male,4.02,353
,,Caleb Wright,MAE,Male,4.22,353
,,Jianjun,CEE,Female,4.2,353
,,Ethan Clark,CCEB,Male,3.97,353
,,Freya Murphy,EEE,Female,4.02,353
,,Tyler Moore,WKW SCI,Male,4.02,354
,,Nathan Davis,EEE,Male,4.22,354
,,Hana Chan,MAE,Female,4.2,354
,,Vivian Tan,EEE,Female,4.07,354
,,Callum Williams,NIE,Male,3.87,354
,,Samuel Cook,LKCMedicine,Male,4.02,355
,,Kenshin Hayashi,EEE,Male,4.22,355
,,Fatin Binti Ahmad,EEE,Female,4.2,355
,,Gavin Walker,CCEB,Male,3.97,355
,,Bethany Zhang,MSE,Female,4.02,355
,,Dylan Wang,SSS,Male,4.02,356
,,Wyatt Ward,CoB (NBS),Male,4.17,356
,,Eko Supriyanto,SoH,Male,4.05,356
,,Yasmin Khan,MAE,Female,4.02,356
,,Grace Walker,MSE,Female,4.02,356
,,Jaxon Green,ASE,Male,4.02,357
,,Yusuf Bin Sulaiman,CoE,Male,4.22,357
,,Aiden Chan,CoB (NBS),Male,4.05,357
,,Aria Wilson,SBS,Female,4.07,357
,,Naina Rani,CoE,Female,4.02,357
,,Christopher Harris,WKW SCI,Male,4.02,358
,,Imran Waseem,ASE,Male,4.17,358
,,Xiang Hong,EEE,Female,4.07,358
,,Sabrina Binti Ismail,CCDS,Female,4.2,358
,,Mason Reyes,SoH,Male,3.92,358
,,Henry Morales,NIE,Male,4.02,359
,,Dylan Walker,MAE,Male,4.22,359
,,Eugene Lim,CoB (NBS),Male,4.05,359
,,Aisha Tan,CCDS,Female,4.02,359
,,Lena Tan,EEE,Female,4.02,359
,,Chen Wang,CoB (NBS),Male,4.02,360
,,Gage Cooper,ASE,Male,4.17,360
,,Zhao Wei Lim,ASE,Male,4.05,360
,,Isha Kapoor,SPMS,Female,4.02,360
,,Kaylee Turner,MAE,Female,4.02,360
,,Samreen Ali,CCDS,Female,4.07,361
,,Tanishq Reddy,WKW SCI,Male,3.92,361
,,Cameron Hall,CoB (NBS),Male,4.02,361
,,Ivy Wong,SBS,Female,4.2,361
,,Jaxon Jenkins,ADM,Male,4.17,361
,,Yuna Wong,SBS,Female,4.07,362
,,Raghav Sharma,WKW SCI,Male,4.05,362
,,Ethan Jones,SBS,Male,4.22,362
,,Zheng Yang,CoB (NBS),Male,4.02,362
,,Maya Bansal,CoE,Female,4.02,362
,,Graham Jackson,SBS,Male,3.97,363
,,Emily Baker,CoE,Female,4.2,363
,,Eric Anderson,MAE,Male,4.22,363
,,Kenshin Watanabe,CoB (NBS),Male,4.02,363
,,Pooja Reddy,CCDS,Female,4.02,363
,,Emily Scott,EEE,Female,4.07,364
,,Jagdeep Singh,ASE,Male,3.92,364
,,Lara Li,CCEB,Female,4.2,364
,,Eric Long,CCDS,Male,4.22,364
,,Raymond Ho,CoB (NBS),Male,4.02,364
,,Rhea Lee,CCEB,Female,4.07,365
,,Derek Adams,SoH,Male,4.05,365
,,Karan Joshi,SoH,Male,4.17,365
,,Kobe Alexander,CoB (NBS),Male,4.02,365
,,Savannah Thompson,CCEB,Female,4.02,365
,,Sana Reddy,CCEB,Female,4.2,366
,,Liam Lewis,WKW SCI,Male,4.17,366
,,Seng Hua Lim,NIE,Male,4.02,366
,,Jett Li,SSS,Male,3.87,366
,,Ruby Nelson,CCDS,Female,4.08,366
,,Rui Jin Tan,LKCMedicine,Male,4.05,367
,,Gabriel Wood,MSE,Male,4.22,367
,,Mason Carter,NIE,Male,4.02,367
,,Abigail Rodriguez,CCEB,Female,4.02,367
,,Nisha Malik,SoH,Female,4.03,367
,,Lihua,EEE,Female,4.2,368
,,Nashit Bhatia,CCDS,Male,4.22,368
,,Isaac Robinson,SSS,Male,4.02,368
,,Amani Yusof,CCEB,Female,4.02,368
,,Ella Santos,SoH,Female,4.03,368
,,Anita Patel,SBS,Female,4.2,369
,,Kieran Lewis,MAE,Male,4.22,369
,,Gavin Wu,ASE,Male,4.02,369
,,Bella Brooks,MAE,Female,4.02,369
,,Nina Lin,CEE,Female,4.08,369
,,Yara Price,CCEB,Female,4.2,370
,,Dylan Richardson,CCDS,Male,4.22,370
,,Jackson Yip,LKCMedicine,Male,4.02,370
,,Lily Huang,MAE,Female,4.02,370
,,Leah Wilson,SBS,Female,4.08,370
,,Yani Santoso,CCDS,Female,4.2,371
,,Liang Zhao,SPMS,Male,4.22,371
,,Taro Watanabe,WKW SCI,Male,4.02,371
,,Sofia Yang,CEE,Female,4.02,371
,,Ritika Mehta,CCEB,Female,4.08,371
,,Sofia Ali,SBS,Female,4.2,372
,,Raymond Tan,MAE,Male,4.22,372
,,John Walker,CoB (NBS),Male,4.02,372
,,Aubrey Carter,MSE,Female,4.02,372
,,Faisal Bukhari,CoB (NBS),Female,4.03,372
,,Jin-Ah Park,CEE,Female,4.2,373
,,Xiang Li,SoH,Male,4.17,373
,,Zain Tran,CoB (NBS),Male,4.02,373
,,Zhong Wei,SPMS,Female,4.02,373
,,Aditi Chai,SSS,Female,4.03,373
,,Aarav Tan,SoH,Male,4.05,374
,,Rohan Bhatt,SBS,Male,4.22,374
,,Irfan Bin Zain,NIE,Male,4.02,374
,,Gita Tan,CCDS,Female,4.02,374
,,Malaya Chen,SSS,Female,4.03,374
,,Sabrina Lee,MSE,Female,4.2,375
,,Rajesh Yadav,EEE,Male,4.22,375
,,Sana Javed,EEE,Female,4.02,375
,,Nguyen Van Hao,CoB (NBS),Male,4.02,375
,,Riley Green,CoB (NBS),Female,4.03,375
,,Vina Ratnasari,MSE,Female,4.2,376
,,Andrew Wright,CCDS,Male,4.22,376
,,Rashmika Jain,CEE,Female,4.02,376
,,Tanner Wu,ADM,Male,4.02,376
,,Samia Khan,SSS,Female,4.03,376
,,Tian Yi Tan,CCEB,Female,4.2,377
,,Quincy Turner,EEE,Male,4.22,377
,,Diya Mathur,MAE,Female,4.02,377
,,Daniel Edwards,WKW SCI,Male,4.02,377
,,Clara Xu,SoH,Female,4.03,377
,,Dustin Zhao,SSS,Male,4.05,378
,,Elliot Bautista,SSS,Male,4.17,378
,,Mabel Wang,SBS,Female,4.02,378
,,Clara Tsai,EEE,Female,4.02,378
,,Perry Villanueva,SSS,Male,4.02,378
,,Daniel Patel,SSS,Male,4.05,379
,,James Martinez,CoE,Male,4.22,379
,,Seung-Jin Han,CoB (NBS),Male,4.02,379
,,Cynthia Ng,SPMS,Female,4.08,379
,,Miki Nishimura,CoB (NBS),Female,4.03,379
,,Kimberly Lim,MSE,Female,4.2,380
,,David Wright,CCDS,Male,4.22,380
,,Jessica Brown,SBS,Female,4.02,380
,,Chinh Nguyen,CoB (NBS),Male,4.02,380
,,Xena Alvarado,MAE,Female,4.08,380
,,Harlan Perdana,NIE,Male,4.05,381
,,Deepak Kumar,CoE,Male,4.22,381
,,Soo-Yeon Lee,CCEB,Female,4.02,381
,,Samir Khan,CoB (NBS),Male,4.02,381
,,Daphne Tsai,EEE,Female,4.08,381
,,Jueqi,SBS,Female,4.2,382
,,Kiran Sharma,CEE,Male,4.22,382
,,Elena Kwan,CoE,Female,4.02,382
,,Silas Wong,SoH,Male,3.93,382
,,Puneet Kumar,NIE,Male,4.02,382
,,Maya Rahayu,CCEB,Female,4.2,383
,,Nikita Alexeyev,CoB (NBS),Male,4.17,383
,,Carmen Lin,CCEB,Female,4.02,383
,,Simone Lim,CCEB,Female,4.08,383
,,Vincent Wong,NIE,Male,4.02,383
,,Isaiah Murphy,ADM,Male,4.05,384
,,David Wright,CoE,Male,4.22,384
,,Jade Tan,CoE,Female,4.02,384
,,Le Thi Nhung,MSE,Female,4.08,384
,,Charles Cooper,ADM,Male,4.02,384
,,Elena Brown,CCEB,Female,4.2,385
,,Exiang,SSS,Male,4.17,385
,,Salma Khan,CCEB,Female,4.02,385
,,Gemma Rivera,MAE,Female,4.08,385
,,Aditya Bansal,WKW SCI,Male,4.02,385
,,Bingqi,CoB (NBS),Male,4.05,386
,,Asher Liu,MSE,Male,4.22,386
,,Ying Xu,MSE,Female,4.02,386
,,Alya Faris,SSS,Female,4.03,386
,,Chad Dela Cruz,CoB (NBS),Male,4.02,386
,,Diya Nair,SSS,Female,4.11,387
,,Glenn Wong,ASE,Male,4.05,387
,,Siddharth Gupta,MAE,Male,4.22,387
,,Danielle Dela Cruz,MAE,Female,4.02,387
,,Tatiana Sergeyevna,EEE,Female,4.08,387
,,Rachel Lee,SoH,Female,4.11,388
,,Noah Wilson,CoB (NBS),Male,4.05,388
,,Owen Villanueva,CCDS,Male,4.22,388
,,Irina Dmitrieva,CCDS,Female,4.02,388
,,Rory Chen,CCEB,Female,4.08,388
,,Xena Reed,NIE,Female,4.11,389
,,Neha Kapoor,CoE,Female,4.2,389
,,Dorian Wu,SPMS,Male,4.22,389
,,Aria Perez,ASE,Female,4.03,389
,,Riya Suresh,EEE,Female,4.02,389
,,Hana Takemura,CoB (NBS),Female,4.11,390
,,Sofia Wong,CEE,Female,4.2,390
,,Nikhil Bansal,SoH,Male,4.17,390
,,Zahra Ali,SBS,Female,4.08,390
,,Aurora Chang,EEE,Female,4.02,390
,,Shahril Bin Muni,NIE,Male,4.05,391
,,Yuna Takahashi,SSS,Female,4.11,391
,,Eli Morales,CCEB,Male,4.22,391
,,Nida Khan,CoB (NBS),Female,4.03,391
,,Lillian Wu,CEE,Female,4.02,391
,,Victoria Reyes,MAE,Female,4.2,392
,,Meghan Carter,CoB (NBS),Female,4.11,392
,,Liang Gao,CEE,Male,4.22,392
,,Hana Matsumura,CCDS,Female,4.08,392
